Cores,N_train,N_test,N_reg,Opt_iter,Total_time,Init_time,Opt_Time,Pred_Var_time,Pred_time,N_loop
1,10000,5000,100,1,336.8990569114685,0.05220150947570801,228.7021291255951,61.54752469062805,46.210951805114746,0
1,10000,5000,100,1,335.1508295536041,0.014903783798217773,226.75639057159424,61.46458435058594,46.54654240608215,1
2,10000,5000,100,1,219.56284976005554,0.16338729858398438,121.44283866882324,52.548014640808105,45.020453691482544,0
2,10000,5000,100,1,218.382479429245,0.014897346496582031,120.77882075309753,52.44565963745117,44.781700134277344,1
4,10000,5000,100,1,176.57989192008972,0.05240941047668457,83.871591091156,48.256115436553955,44.00988984107971,0
4,10000,5000,100,1,175.65094184875488,0.014864683151245117,83.18575406074524,47.95066690444946,44.13178873062134,1
8,10000,5000,100,1,158.11647248268127,0.16297078132629395,67.92930555343628,45.873939514160156,43.74457120895386,0
8,10000,5000,100,1,157.1147758960724,0.01481771469116211,67.07505416870117,45.78137230873108,43.86355638504028,1
16,10000,5000,100,1,148.9859583377838,0.165510892868042,59.80803298950195,44.97002840042114,43.65105414390564,0
16,10000,5000,100,1,147.7784070968628,0.014877796173095703,59.18686819076538,44.67408800125122,43.54172444343567,1
32,10000,5000,100,1,144.0692493915558,0.05699563026428223,55.896812200546265,44.43851399421692,43.28996801376343,0
32,10000,5000,100,1,142.59067797660828,0.014896631240844727,54.807018995285034,44.17957925796509,43.22155141830444,1
64,10000,5000,100,1,141.31726908683777,0.06669425964355469,53.64347243309021,43.93993663787842,43.28068137168884,0
64,10000,5000,100,1,139.9675509929657,0.015572547912597656,53.01581573486328,43.52886986732483,43.03961181640625,1
128,10000,5000,100,1,141.549640417099,0.1939702033996582,53.73852062225342,43.96018981933594,43.26957654953003,0
128,10000,5000,100,1,140.2420530319214,0.0148773193359375,53.51998853683472,43.42959475517273,42.9114887714386,1

