Cores,N_train,N_test,N_reg,Opt_iter,Total_time,Init_time,Opt_Time,Pred_Var_time,Pred_time,N_loop
1,20000,5000,100,1,1041.824303150177,0.171891450881958,571.7645237445831,239.26756644248962,229.58251881599426,0
1,20000,5000,100,1,1027.864837884903,0.015330314636230469,561.5513112545013,232.9834749698639,232.36706376075745,1
1,20000,5000,100,1,1015.9980218410492,0.014759302139282227,553.8495142459869,230.84117770195007,230.28674292564392,2
1,20000,5000,100,1,1017.4006679058075,0.014691591262817383,556.196772813797,229.6285469532013,230.56022214889526,3
1,20000,5000,100,1,1029.6452209949493,0.014211654663085938,571.7497580051422,229.68591499328613,227.21591782569885,4
1,20000,5000,100,1,1000.0457782745361,0.014149188995361328,549.4324061870575,223.34311890602112,226.3397238254547,5
1,20000,5000,100,1,1020.6129257678986,0.014677047729492188,569.5505168437958,223.09309697151184,226.9519703388214,6
1,20000,5000,100,1,1030.1756656169891,0.014657020568847656,572.6012647151947,228.79881954193115,227.75531649589539,7
1,20000,5000,100,1,1044.9576976299286,0.014603614807128906,586.6086621284485,229.74926948547363,227.57949352264404,8
1,20000,5000,100,1,1024.9021837711334,0.014183998107910156,567.2707633972168,229.7755250930786,226.91935920715332,9
2,20000,5000,100,1,1388.8784465789795,0.3226187229156494,926.6617112159729,230.8033881187439,230.0617778301239,0
2,20000,5000,100,1,1428.6649148464203,0.15368270874023438,939.4449257850647,247.80895900726318,240.24284529685974,1
2,20000,5000,100,1,1422.038432598114,0.0162506103515625,950.3584108352661,235.95862483978271,234.7470407485962,2
2,20000,5000,100,1,1409.185765504837,0.11983489990234375,953.7683401107788,225.48441338539124,228.79667949676514,3
2,20000,5000,100,1,1448.1542649269104,0.021790742874145508,997.9138174057007,225.08470582962036,224.19422698020935,4
2,20000,5000,100,1,1426.8971767425537,0.022238492965698242,980.4004411697388,222.64925694465637,222.80910730361938,5
2,20000,5000,100,1,1437.5152297019958,0.022652387619018555,990.4945411682129,223.1834692955017,222.80266189575195,6
2,20000,5000,100,1,1391.106416463852,0.05752253532409668,916.6535909175873,236.07647442817688,237.28941774368286,7
2,20000,5000,100,1,1356.3530657291412,0.02214670181274414,907.9504592418671,223.5952227115631,223.86586546897888,8
2,20000,5000,100,1,1357.915843486786,0.022899389266967773,911.1641044616699,224.08705139160156,221.7467396259308,9
4,20000,5000,100,1,1097.278466463089,0.05840778350830078,652.9094235897064,221.5697422027588,221.715313911438,0
4,20000,5000,100,1,1135.4943401813507,0.020646333694458008,675.2833406925201,232.61107182502747,226.6463222503662,1
4,20000,5000,100,1,1098.9101696014404,0.02065873146057129,650.3782143592834,222.95299816131592,224.561443567276,2
4,20000,5000,100,1,1106.59867477417,0.020111083984375,655.3011786937714,225.22821521759033,225.14890551567078,3
4,20000,5000,100,1,1112.737120628357,0.020551204681396484,654.9127676486969,225.8424654006958,230.96626710891724,4
