Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Cholesky_time,Opt_time,Pred_Uncer_time,Pred_Full_time,Pred_time,N_loop
1,10000,5000,25,100,1,185.084,0.000196076,4e-08,67.963,38.2283,54.4703,24.2798,0
1,10000,5000,25,100,1,183.594,7.4102e-05,7e-08,67.2635,38.0147,54.0467,24.2179,1
1,10000,5000,25,100,1,183.468,8.1343e-05,8e-08,67.3125,37.9638,53.9458,24.1939,2
1,10000,5000,25,100,1,183.565,7.2543e-05,6e-08,67.3108,37.9852,53.9746,24.2183,3
1,10000,5000,25,100,1,183.616,7.6842e-05,6e-08,67.3995,37.9458,54.014,24.2059,4
1,10000,5000,25,100,1,183.445,5.9972e-05,1.4e-07,67.2723,37.9714,53.9698,24.18,5
1,10000,5000,25,100,1,183.592,8.7093e-05,5e-08,67.3235,37.9914,54.0253,24.1959,6
1,10000,5000,25,100,1,183.531,8.1593e-05,6e-08,67.27,38.0045,54.0046,24.2014,7
1,10000,5000,25,100,1,183.521,7.0672e-05,8e-08,67.2678,37.994,53.9631,24.2125,8
1,10000,5000,25,100,1,182.483,7.0403e-05,1.1e-07,66.5051,37.932,53.8994,24.0935,9
2,10000,5000,25,100,1,95.0923,8.4893e-05,6e-08,35.7951,19.4638,27.4464,12.3338,0
2,10000,5000,25,100,1,95.1349,2.6021e-05,7e-08,35.7723,19.4973,27.4762,12.3403,1
2,10000,5000,25,100,1,95.1076,3.0261e-05,7e-08,35.7891,19.4643,27.4692,12.3365,2
2,10000,5000,25,100,1,95.1648,6.4632e-05,5e-08,35.8756,19.4575,27.4528,12.3315,3
2,10000,5000,25,100,1,95.1752,2.517e-05,6e-08,35.7862,19.4684,27.528,12.3451,4
2,10000,5000,25,100,1,95.1941,2.6791e-05,7e-08,35.7336,19.5106,27.5738,12.3291,5
2,10000,5000,25,100,1,95.3113,5.6711e-05,7e-08,35.9074,19.492,27.4919,12.3407,6
2,10000,5000,25,100,1,95.3792,2.935e-05,1.4e-07,35.8976,19.5142,27.5606,12.3573,7
2,10000,5000,25,100,1,95.2265,9.0733e-05,6e-08,35.8009,19.4983,27.5308,12.3463,8
2,10000,5000,25,100,1,95.177,2.6221e-05,6e-08,35.8238,19.4823,27.4759,12.3462,9
4,10000,5000,25,100,1,52.8528,5.3182e-05,6e-08,20.741,10.5672,14.9555,6.5377,0
4,10000,5000,25,100,1,52.9636,2.289e-05,4e-08,20.9206,10.5444,14.929,6.54548,1
4,10000,5000,25,100,1,53.3246,2.502e-05,8e-08,21.113,10.6395,14.9594,6.56218,2
4,10000,5000,25,100,1,53.1352,2.219e-05,4e-08,21.0148,10.6112,14.9446,6.54012,3
4,10000,5000,25,100,1,53.2319,2.3381e-05,6e-08,21.051,10.6201,14.9771,6.53317,4
4,10000,5000,25,100,1,53.2962,2.3341e-05,6e-08,21.1375,10.6004,14.9933,6.54078,5
4,10000,5000,25,100,1,53.3508,2.5411e-05,7e-08,21.1399,10.6551,14.9573,6.54819,6
4,10000,5000,25,100,1,53.1866,2.4381e-05,6e-08,21.0395,10.6166,14.9538,6.55106,7
4,10000,5000,25,100,1,53.3513,5.1911e-05,1e-07,21.1633,10.619,14.9801,6.53775,8
4,10000,5000,25,100,1,53.0728,3.6681e-05,1.6e-07,20.9795,10.5811,14.9362,6.54647,9
8,10000,5000,25,100,1,29.849,2.5441e-05,1e-07,12.1308,5.88061,8.14607,3.60548,0
8,10000,5000,25,100,1,29.8259,2.9511e-05,1.4e-07,12.1366,5.87442,8.18573,3.60147,1
8,10000,5000,25,100,1,29.8693,2.4391e-05,6e-08,12.1406,5.92681,8.15511,3.61941,2
