Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
1,20000,5000,1,100,1,876.551,0.00030647,525.17,199.781,151.43,0
1,20000,5000,1,100,1,881.697,0.000277339,529.466,200.7,151.362,1
1,20000,5000,1,100,1,881.554,0.000195006,529.096,200.358,151.98,2
1,20000,5000,1,100,1,880.73,0.000225817,527.854,200.249,152.465,3
1,20000,5000,1,100,1,882.525,0.000130394,529.72,200.564,152.117,4
1,20000,5000,1,100,1,879.305,0.000110023,528.825,199.103,151.191,5
1,20000,5000,1,100,1,880.2,0.000106744,527.868,200.546,151.664,6
1,20000,5000,1,100,1,880.306,0.000121224,528.578,200.089,151.488,7
1,20000,5000,1,100,1,881.099,0.000143824,529.511,200.167,151.3,8
1,20000,5000,1,100,1,880.231,0.000102473,528.493,200.048,151.536,9
