Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Cholesky_time,Opt_time,Pred_Uncer_time,Pred_Full_time,Pred_time,N_loop
1,10000,5000,1,100,1,216.656,0.000179646,5e-08,77.1789,46.4021,59.6899,33.2391,0
1,10000,5000,1,100,1,213.679,0.000143275,8e-08,75.7259,45.3279,59.4352,33.1382,1
1,10000,5000,1,100,1,213.497,6.2652e-05,5e-08,75.4894,45.3585,59.4322,33.1616,2
1,10000,5000,1,100,1,212.72,7.9222e-05,6e-08,75.2182,45.2893,59.1714,32.9902,3
1,10000,5000,1,100,1,213.029,6.1641e-05,6e-08,75.496,45.1616,59.2402,33.0792,4
1,10000,5000,1,100,1,212.962,6.6862e-05,5e-08,75.6856,44.9395,59.2363,33.0223,5
1,10000,5000,1,100,1,212.935,6.6371e-05,5e-08,75.3296,45.2112,59.2399,33.1041,6
1,10000,5000,1,100,1,212.865,5.7842e-05,5e-08,75.3285,45.2618,59.1869,33.0389,7
1,10000,5000,1,100,1,212.946,6.3742e-05,7.1e-08,75.3325,45.2934,59.1651,33.1031,8
1,10000,5000,1,100,1,212.78,6.5542e-05,6e-08,75.302,45.273,59.1565,32.9973,9
