Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
1,20000,5000,25,100,1,775.882,0.000254668,493.222,169.704,112.806,0
1,20000,5000,25,100,1,777.61,0.000429413,496.306,168.595,112.573,1
1,20000,5000,25,100,1,778.901,0.000127584,497.285,169.093,112.367,2
1,20000,5000,25,100,1,777.989,0.000122824,496.927,168.613,112.324,3
1,20000,5000,25,100,1,776.565,0.000132684,495.576,168.466,112.376,4
1,20000,5000,25,100,1,777.359,0.000128484,496.48,168.43,112.323,5
1,20000,5000,25,100,1,777.729,0.000219687,496.701,168.497,112.364,6
1,20000,5000,25,100,1,777.034,0.000115904,496.281,168.225,112.387,7
1,20000,5000,25,100,1,777.361,0.000117903,496.558,168.313,112.345,8
1,20000,5000,25,100,1,777.338,0.000123474,496.741,168.236,112.235,9
2,20000,5000,25,100,1,407.976,0.000252327,261.402,88.5895,57.84,0
2,20000,5000,25,100,1,406.894,0.00033013,260.794,88.2388,57.7321,1
2,20000,5000,25,100,1,408.114,0.000159095,261.682,88.5924,57.7464,2
2,20000,5000,25,100,1,407.094,0.000337331,260.999,88.3135,57.6527,3
2,20000,5000,25,100,1,407.288,0.000144965,261.191,88.345,57.6878,4
2,20000,5000,25,100,1,408.291,0.000228397,260.934,88.5164,57.6606,5
2,20000,5000,25,100,1,407.201,0.000164895,261.055,88.546,57.5418,6
2,20000,5000,25,100,1,407.218,9.7843e-05,260.954,88.4246,57.6843,7
2,20000,5000,25,100,1,407.322,0.000164445,261.093,88.5921,57.5446,8
2,20000,5000,25,100,1,407.535,5.4161e-05,261.082,88.6047,57.7075,9
4,20000,5000,25,100,1,214.616,0.000189166,137.371,47.1764,30.0118,0
4,20000,5000,25,100,1,214.199,5.1551e-05,137.002,47.0826,30.0203,1
4,20000,5000,25,100,1,214.444,0.000117714,137.239,47.1284,30.0129,2
4,20000,5000,25,100,1,214.503,5.5962e-05,137.279,47.0417,30.1198,3
4,20000,5000,25,100,1,214.283,5.0362e-05,137.114,47.0861,30.0221,4
4,20000,5000,25,100,1,213.91,8.2252e-05,136.839,46.956,30.0549,5
4,20000,5000,25,100,1,214.029,5.1912e-05,137.109,46.8177,30.011,6
4,20000,5000,25,100,1,214.496,5.1272e-05,137.184,47.2942,29.9583,7
4,20000,5000,25,100,1,214.377,6.0672e-05,136.845,47.4558,30.0168,8
4,20000,5000,25,100,1,214.139,4.7581e-05,136.842,47.2603,29.9775,9
8,20000,5000,25,100,1,121.369,5.1792e-05,77.7343,26.8882,16.6859,0
8,20000,5000,25,100,1,121.28,5.1712e-05,77.657,26.9138,16.59,1
8,20000,5000,25,100,1,121.474,5.6672e-05,77.7556,26.9158,16.7371,2
8,20000,5000,25,100,1,121.6,0.000120524,78.0728,26.8474,16.6168,3
8,20000,5000,25,100,1,121.394,5.2431e-05,77.6389,27.0604,16.6376,4
8,20000,5000,25,100,1,120.991,0.000119864,77.2845,26.9609,16.6863,5
8,20000,5000,25,100,1,121.194,0.000136244,77.4018,27.0199,16.7101,6
8,20000,5000,25,100,1,121.443,4.1162e-05,77.7684,26.8713,16.7434,7
8,20000,5000,25,100,1,121.981,6.6022e-05,78.1627,26.9859,16.7743,8
8,20000,5000,25,100,1,121.018,8.7012e-05,77.408,26.8693,16.6493,9
16,20000,5000,25,100,1,64.8022,4.9642e-05,41.3701,14.4879,8.87754,0
16,20000,5000,25,100,1,64.6696,9.0882e-05,41.356,14.4336,8.81018,1
16,20000,5000,25,100,1,64.7261,3.9951e-05,41.3638,14.454,8.84244,2
16,20000,5000,25,100,1,64.794,4.1181e-05,41.3874,14.4802,8.85691,3
16,20000,5000,25,100,1,64.7979,5.6602e-05,41.3552,14.5101,8.86302,4
