ores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Cholesky_time,Opt_time,Pred_Uncer_time,Pred_Full_time,Pred_time,N_loop
1,20000,5000,25,100,0,478.391,0.000182625,9e-08,5e-08,168.468,198.24,111.518,0
1,20000,5000,25,100,0,477.274,0.000126664,8e-08,5e-08,167.934,197.584,111.623,1
1,20000,5000,25,100,0,479.839,0.000129573,1.3e-07,6e-08,168.899,199.083,111.773,2
1,20000,5000,25,100,0,476.167,0.000131344,8e-08,5e-08,167.56,197.086,111.395,3
1,20000,5000,25,100,0,477.212,0.000121953,1.1e-07,6e-08,168.046,197.415,111.606,4
1,20000,5000,25,100,0,475.739,0.000127224,8e-08,5e-08,167.636,196.966,111.015,5
1,20000,5000,25,100,0,478.935,0.000129105,1.09e-07,6e-08,168.649,198.645,111.488,6
1,20000,5000,25,100,0,476.728,0.000132225,1.4e-07,6e-08,167.774,197.319,111.504,7
1,20000,5000,25,100,0,476.983,0.000128014,2.93e-06,5e-08,167.944,197.314,111.563,8
1,20000,5000,25,100,0,476.759,0.000129454,8e-08,5e-08,167.831,197.317,111.481,9
2,20000,5000,25,100,0,251.971,0.000121904,1.1e-07,5e-08,89.0139,104.174,57.6276,0
2,20000,5000,25,100,0,250.435,6.2972e-05,8e-08,5e-08,88.937,103.871,57.5629,1
2,20000,5000,25,100,0,250.65,5.5291e-05,9e-08,5e-08,88.8732,104.148,57.571,2
2,20000,5000,25,100,0,250.243,0.000120263,1.1e-07,6e-08,88.8683,103.844,57.4739,3
2,20000,5000,25,100,0,250.019,5.1291e-05,1.1e-07,5e-08,88.6926,103.816,57.4279,4
2,20000,5000,25,100,0,250.948,5.9072e-05,9e-08,5e-08,88.9491,104.295,57.6487,5
2,20000,5000,25,100,0,250.517,0.000178065,1.4e-07,6e-08,88.8504,104.136,57.4673,6
2,20000,5000,25,100,0,250.028,0.000153145,1.1e-07,6e-08,88.6871,103.895,57.3846,7
2,20000,5000,25,100,0,250.817,6.6832e-05,8e-08,5e-08,88.9699,104.13,57.6305,8
2,20000,5000,25,100,0,250.818,6.0632e-05,8e-08,5e-08,88.932,104.118,57.7081,9
4,20000,5000,25,100,0,133.362,0.000113603,8e-08,5e-08,47.1762,56.0764,30.0445,0
