Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
64,10000,5000,100,100,0,10.0533,0.000142884,1.1e-07,5.96487,3.86643,0
64,10000,5000,100,100,0,9.28665,5.8052e-05,1.2e-07,6.68089,2.51702,1
64,10000,5000,100,100,0,8.39183,9.0922e-05,1.3e-07,5.68249,2.61547,2
64,10000,5000,100,100,0,8.0874,7.0263e-05,1.1e-07,5.54911,2.44851,3
64,10000,5000,100,100,0,8.19909,6.0013e-05,1.3e-07,5.61014,2.50339,4
64,10000,5000,100,100,0,8.10216,6.4901e-05,2e-07,5.53101,2.48551,5
64,10000,5000,100,100,0,8.20028,5.9891e-05,1.4e-07,5.61945,2.49979,6
64,10000,5000,100,100,0,8.16024,5.4912e-05,1.8e-07,5.58238,2.45864,7
64,10000,5000,100,100,0,8.1536,7.9193e-05,1.1e-07,5.61247,2.45522,8
64,10000,5000,100,100,0,8.28029,7.2592e-05,1.6e-07,5.69337,2.50288,9
64,20000,5000,100,100,0,17.7928,0.000181926,1.9e-07,10.8647,6.84538,0
64,20000,5000,100,100,0,18.5453,0.000107413,1.9e-07,11.3373,7.12358,1
64,20000,5000,100,100,0,18.9863,0.000100803,8e-08,11.5969,7.27626,2
64,20000,5000,100,100,0,18.8108,8.3862e-05,1.7e-07,11.5182,7.20965,3
64,20000,5000,100,100,0,19.0019,8.7792e-05,1.69e-07,11.6673,7.25807,4
64,20000,5000,100,100,0,19.1125,8.1372e-05,1.4e-07,11.7815,7.24663,5
64,20000,5000,100,100,0,19.3781,9.0153e-05,1.4e-07,11.9344,7.33078,6
64,20000,5000,100,100,0,19.2251,9.7693e-05,1.8e-07,11.8711,7.27164,7
64,20000,5000,100,100,0,19.1534,9.0073e-05,1.6e-07,11.7639,7.31195,8
64,20000,5000,100,100,0,19.0974,8.1982e-05,1.11e-07,11.7334,7.27682,9
64,30000,5000,100,100,0,45.1859,0.000114243,1.9e-07,29.6548,15.4075,0
64,30000,5000,100,100,0,45.5486,0.000170534,1.49e-07,30.067,15.3949,1
64,30000,5000,100,100,0,45.0568,0.000129763,9.1e-08,29.9161,15.0219,2
64,30000,5000,100,100,0,45.8785,0.000123094,1.4e-07,30.6125,15.1688,3
64,30000,5000,100,100,0,45.8377,0.000251587,1.2e-07,30.4,15.3177,4
64,30000,5000,100,100,0,45.78,0.000140484,1.9e-07,30.5311,15.1559,5
64,30000,5000,100,100,0,45.9235,0.000126754,1.4e-07,30.4278,15.3792,6
64,30000,5000,100,100,0,46.0061,0.000131234,1.29e-07,30.7059,15.2105,7
64,30000,5000,100,100,0,45.7597,0.000165425,1.3e-07,30.2554,15.3868,8
64,30000,5000,100,100,0,45.3221,9.8302e-05,1.4e-07,30.1239,15.11,9
64,40000,5000,100,100,0,80.3156,0.000138514,1.7e-07,50.3477,29.8428,0
