Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
64,10000,5000,25,100,0,2.67443,9.9693e-05,9e-08,1.57876,0.886396,0
64,10000,5000,25,100,0,2.45071,5.8052e-05,1.2e-07,1.47956,0.891656,1
64,10000,5000,25,100,0,2.4693,5.7742e-05,1.4e-07,1.47483,0.913506,2
64,10000,5000,25,100,0,2.54851,5.2292e-05,1e-07,1.54688,0.923196,3
64,10000,5000,25,100,0,2.60421,5.0241e-05,4e-08,1.59722,0.931987,4
64,10000,5000,25,100,0,2.6722,6.1412e-05,1e-07,1.65687,0.93855,5
64,10000,5000,25,100,0,2.73159,3.2261e-05,7.1e-08,1.69767,0.949703,6
64,10000,5000,25,100,0,2.84641,4.5871e-05,1.2e-07,1.76516,1.00343,7
64,10000,5000,25,100,0,2.86032,4.6441e-05,1.1e-07,1.78188,0.999572,8
64,10000,5000,25,100,0,2.86072,9.6033e-05,1.2e-07,1.79762,0.981652,9
64,20000,5000,25,100,0,11.6627,7.4923e-05,1e-07,7.3797,4.20295,0
64,20000,5000,25,100,0,11.3488,6.3733e-05,1.4e-07,7.04964,4.22378,1
64,20000,5000,25,100,0,11.355,9.2094e-05,1e-07,7.06393,4.21234,2
64,20000,5000,25,100,0,11.4907,0.000112513,7e-08,7.09847,4.28125,3
64,20000,5000,25,100,0,11.5238,8.7733e-05,1.1e-07,7.15811,4.28557,4
64,20000,5000,25,100,0,11.7175,5.2292e-05,8e-08,7.2518,4.38843,5
64,20000,5000,25,100,0,11.489,0.000203067,1e-07,7.16192,4.2446,6
64,20000,5000,25,100,0,11.7147,9.8373e-05,9e-08,7.19549,4.43562,7
64,20000,5000,25,100,0,11.5419,9.0722e-05,9e-08,7.18649,4.27352,8
64,20000,5000,25,100,0,11.8253,6.4922e-05,8e-08,7.23935,4.47499,9
64,30000,5000,25,100,0,28.596,9.9593e-05,9.1e-08,17.5285,10.9911,0
64,30000,5000,25,100,0,28.5751,0.00062096,1.2e-07,17.2037,11.2904,1
64,30000,5000,25,100,0,28.8083,0.000127204,1e-07,17.1703,11.5144,2
64,30000,5000,25,100,0,29.091,0.000201606,7.1e-08,17.4221,11.5854,3
64,30000,5000,25,100,0,28.7991,0.000141715,1.1e-07,17.3718,11.338,4
64,30000,5000,25,100,0,28.9796,0.000189497,1e-07,17.5535,11.3039,5
64,30000,5000,25,100,0,28.8855,8.4513e-05,8.9e-08,17.5032,11.2961,6
64,30000,5000,25,100,0,28.7207,0.000249787,1.1e-07,17.1884,11.4484,7
64,30000,5000,25,100,0,28.894,0.000145115,1.01e-07,17.3821,11.3948,8
64,30000,5000,25,100,0,28.7937,0.000173936,8e-08,17.356,11.3585,9
64,40000,5000,25,100,0,60.0365,0.000452704,1.1e-07,35.3739,24.5797,0
64,40000,5000,25,100,0,59.8259,0.000111123,1.2e-07,35.535,24.1762,1
64,40000,5000,25,100,0,59.3788,0.000110674,1.2e-07,35.0726,24.2272,2
64,40000,5000,25,100,0,58.8805,0.000238747,1.2e-07,34.7374,24.0326,3
64,40000,5000,25,100,0,58.5849,0.000253618,1e-07,34.6602,23.7842,4
64,40000,5000,25,100,0,59.5492,0.000110523,1.6e-07,35.1096,24.3308,5
64,40000,5000,25,100,0,59.4495,0.000153635,1.6e-07,35.1306,24.2435,6
64,40000,5000,25,100,0,58.944,0.000106713,1.1e-07,34.7114,24.089,7
64,40000,5000,25,100,0,59.395,0.000107793,1.5e-07,35.4028,23.9211,8
64,40000,5000,25,100,0,59.5668,0.000160835,1.3e-07,35.698,23.7609,9
64,50000,5000,25,100,0,103.68,0.000430973,1e-07,60.6772,42.9216,0
64,50000,5000,25,100,0,103.444,0.00028856,1.4e-07,60.4395,42.8894,1
64,50000,5000,25,100,0,103.692,0.000344271,1.2e-07,60.5018,43.0735,2
64,50000,5000,25,100,0,103.107,0.000375643,1.7e-07,59.6782,43.3179,3
64,50000,5000,25,100,0,104.321,0.000448544,1.4e-07,60.3595,43.8484,4
64,50000,5000,25,100,0,103.103,0.000364762,2e-07,60.3279,42.6674,5
64,50000,5000,25,100,0,103.235,0.00034193,9e-08,60.1708,42.9487,6
64,50000,5000,25,100,0,102.179,0.00033251,1.1e-07,59.4515,42.5829,7
64,50000,5000,25,100,0,103.969,0.000355702,1.4e-07,60.6927,43.1643,8
64,50000,5000,25,100,0,103.347,0.000352671,1.5e-07,59.8937,43.3424,9
64,60000,5000,25,100,0,167.301,0.000389452,1.3e-07,96.0801,71.1083,0
64,60000,5000,25,100,0,167.243,0.000399473,1e-07,95.9253,71.2017,1
64,60000,5000,25,100,0,168.081,0.000352111,1.4e-07,96.3405,71.626,2
64,60000,5000,25,100,0,164.729,0.000428604,1.6e-07,93.9838,70.633,3
64,60000,5000,25,100,0,167.331,0.000497736,1.4e-07,94.658,72.5173,4
64,60000,5000,25,100,0,167.541,0.000443154,1.3e-07,94.313,73.1135,5
64,60000,5000,25,100,0,166.071,0.000426374,1.2e-07,94.8344,71.1169,6
