Cores,N_train,N_test,N_tiles,N_regressor,Opt_iter,Total_time,Init_time,Opt_time,Pred_Uncer_time,Predict_time,N_loop
32,20000,5000,1,100,1,838.65,0.000209597,524.561,180.367,133.556,0
32,20000,5000,1,100,1,833.739,0.000502325,517.853,180.805,134.895,1
32,20000,5000,1,100,1,833.199,0.000112783,519.752,180.166,133.135,2
32,20000,5000,1,100,1,830.761,5.3762e-05,518.214,179.217,133.155,3
32,20000,5000,1,100,1,838.143,0.000107744,523.467,181.119,133.411,4
32,20000,5000,1,100,1,835.408,9.0843e-05,520.627,180.517,134.038,5
32,20000,5000,1,100,1,835.669,9.3573e-05,521.696,179.505,134.319,6
32,20000,5000,1,100,1,837.358,0.000204767,523.295,181.163,132.72,7
32,20000,5000,1,100,1,836.613,0.000116333,520.934,181.822,133.703,8
32,20000,5000,1,100,1,840.3,0.000108544,524.757,180.688,134.69,9

32,20000,5000,2,100,1,433.7,0.000237556,224.016,108.027,101.49,0
32,20000,5000,2,100,1,427.914,0.000134654,220.088,107.173,100.578,1
32,20000,5000,2,100,1,431.084,0.000118024,222.278,107.629,101.037,2
32,20000,5000,2,100,1,430.675,0.000177946,221.431,107.889,101.247,3
32,20000,5000,2,100,1,430.682,0.000127364,222.283,107.37,100.889,4
32,20000,5000,2,100,1,428.443,0.000142294,219.496,108.064,100.801,5
32,20000,5000,2,100,1,426.694,9.5844e-05,219.631,105.976,100.88,6
32,20000,5000,2,100,1,429.789,0.000120403,222.24,107.092,100.375,7
32,20000,5000,2,100,1,428.21,9.2412e-05,220.145,106.963,100.959,8
32,20000,5000,2,100,1,427.653,0.000188096,219.589,106.16,101.794,9

32,20000,5000,4,100,1,139.95,0.00030737,69.7278,36.9962,33.054,0
32,20000,5000,4,100,1,139.462,7.8623e-05,69.3207,36.9097,33.1514,1
32,20000,5000,4,100,1,139.61,0.000146784,68.7196,37.7085,33.1062,2
32,20000,5000,4,100,1,139.789,5.4862e-05,69.4758,37.1149,33.098,3
32,20000,5000,4,100,1,138.836,5.2642e-05,69.0313,36.576,33.1545,4
32,20000,5000,4,100,1,138.539,9.1183e-05,68.7913,36.3518,33.3229,5
32,20000,5000,4,100,1,139.579,8.8673e-05,69.5054,36.6919,33.3089,6
32,20000,5000,4,100,1,140.712,5.7092e-05,69.6786,36.5143,34.4421,7
32,20000,5000,4,100,1,139.338,7.4002e-05,69.2368,36.8502,33.1762,8
32,20000,5000,4,100,1,139.214,4.2802e-05,69.2594,36.3225,33.5594,9

32,20000,5000,8,100,1,50.7697,0.000186015,27.7179,12.007,10.8774,0
32,20000,5000,8,100,1,49.972,5.3421e-05,27.4855,11.9068,10.531,1
32,20000,5000,8,100,1,50.3124,5.2382e-05,27.6662,11.7885,10.78,2
32,20000,5000,8,100,1,50.6812,5.1871e-05,28.0866,11.8108,10.7363,3
32,20000,5000,8,100,1,49.67,4.4762e-05,27.1642,11.8483,10.5832,4
32,20000,5000,8,100,1,50.4584,2.6421e-05,27.8955,11.7721,10.7463,5
32,20000,5000,8,100,1,49.9374,3.8021e-05,27.3597,11.7695,10.7301,6
32,20000,5000,8,100,1,49.4552,3.6031e-05,27.3383,11.6639,10.4107,7
32,20000,5000,8,100,1,50.0458,4.1711e-05,27.5248,11.7285,10.7153,8
32,20000,5000,8,100,1,49.6385,3.8122e-05,27.0408,11.9797,10.5748,9

32,20000,5000,25,100,1,39.7571,0.000186146,25.5422,8.69218,5.33548,0
32,20000,5000,25,100,1,38.8152,6.7913e-05,24.8081,8.7013,5.25346,1
32,20000,5000,25,100,1,38.7723,8.4302e-05,24.6778,8.64839,5.36199,2
32,20000,5000,25,100,1,39.0108,5.9353e-05,24.7909,8.78078,5.38412,3
32,20000,5000,25,100,1,39.0441,5.6972e-05,24.703,8.78823,5.44579,4
32,20000,5000,25,100,1,38.6053,6.3102e-05,24.5633,8.6738,5.31508,5
32,20000,5000,25,100,1,38.6503,5.6572e-05,24.6087,8.65314,5.31035,6
32,20000,5000,25,100,1,38.7693,5.3242e-05,24.6692,8.72291,5.32718,7
32,20000,5000,25,100,1,38.8162,0.000111764,24.547,8.77869,5.41022,8
32,20000,5000,25,100,1,38.7061,4.8592e-05,24.6244,8.69769,5.33177,9

32,20000,5000,50,100,1,46.9139,0.000281649,31.2848,9.62176,5.83298,0
32,20000,5000,50,100,1,45.8853,7.5413e-05,30.4276,9.57369,5.82856,1
32,20000,5000,50,100,1,45.7854,9.1692e-05,30.2551,9.64786,5.79541,2
32,20000,5000,50,100,1,45.9248,0.000135825,30.4656,9.59462,5.81091,3
32,20000,5000,50,100,1,45.7512,5.5352e-05,30.208,9.63984,5.81778,4
32,20000,5000,50,100,1,45.692,0.000109734,30.2313,9.60985,5.79777,5
32,20000,5000,50,100,1,45.8195,5.2682e-05,30.2783,9.63839,5.78941,6
32,20000,5000,50,100,1,45.7498,5.5222e-05,30.309,9.59678,5.79076,7
32,20000,5000,50,100,1,45.6943,5.4241e-05,30.2363,9.58289,5.79272,8
32,20000,5000,50,100,1,45.4997,4.4572e-05,30.1706,9.50938,5.76537,9

32,20000,5000,100,100,1,61.1868,0.000244387,41.8589,11.6788,7.46771,0
32,20000,5000,100,100,1,60.4744,9.9753e-05,41.2938,11.7715,7.3168,1
32,20000,5000,100,100,1,60.4084,0.000118843,41.333,11.7117,7.30201,2
32,20000,5000,100,100,1,60.4509,6.2452e-05,41.4112,11.5434,7.40662,3
32,20000,5000,100,100,1,60.1881,6.2852e-05,41.34,11.5077,7.28232,4
32,20000,5000,100,100,1,60.2377,5.9432e-05,41.2273,11.5631,7.36184,5
32,20000,5000,100,100,1,60.617,6.2122e-05,41.3784,11.7672,7.41244,6
32,20000,5000,100,100,1,60.4098,5.2462e-05,41.3928,11.5614,7.37024,7
